Date,Close,High,Low,Open,Volume
2021-01-04,132.85769653320312,135.57933053548388,131.16971275485437,135.46553842863,6178500
2021-01-05,133.92922973632812,134.33700877194187,131.43519521663924,131.43519521663924,4163100
2021-01-06,134.99139404296875,136.14832877043955,132.31716359979725,133.94825142967397,6072900
2021-01-07,137.45693969726562,138.11127309482487,135.60774605416339,135.79740434345592,5256900
2021-01-08,138.78460693359375,139.23031196914704,137.40955147879995,138.02595914094965,3950500
2021-01-11,139.4483642578125,139.49578243959297,137.31467630766915,138.45264032041277,4252000
2021-01-12,137.55177307128906,139.2587265776235,136.91640985754228,138.92681372611415,3678800
2021-01-13,135.6456756591797,137.62764607636245,135.0672084554087,137.34315139958977,3330100
2021-01-14,133.9956512451172,137.40954443193402,133.64476815788706,136.23365416014258,4104000
2021-01-15,133.4456329345703,135.01982450252277,132.6490592989808,133.29390048874305,6412400
2021-01-19,132.07057189941406,133.91976558258955,131.25502821478278,133.7016592686766,6537800
2021-01-20,135.4180908203125,135.80689972763489,132.7723091504848,133.12319218709294,4654400
2021-01-21,134.2895965576172,136.37586660446468,133.8344137857594,135.04824415737977,4011200
2021-01-22,132.14645385742188,134.54566700635658,132.1085135122202,133.7964971236446,4150500
2021-01-25,130.43948364257812,131.9852124697914,127.77474629290353,131.80504649778507,5998700
2021-01-26,128.11614990234375,130.72399147387924,127.74631113099879,130.63863293433684,5312300
2021-01-27,124.24705505371094,125.99193460521143,123.5358255601101,125.38501934947207,7815900
2021-01-28,127.75578308105469,129.32048216370234,124.70223666073547,125.5177803842369,6244600
2021-01-29,126.68421936035156,128.04978257741416,125.31865614328896,127.02561016461722,7166100
2021-02-01,128.6946258544922,129.01704645232613,126.40920470454667,128.37219078665566,4366800
2021-02-02,132.37405395507812,132.63010067094973,129.6808679222183,129.97484051784687,7132800
2021-02-03,131.46368408203125,132.8197549090318,130.8757244389232,132.47836412174442,4678600
2021-02-04,133.3602752685547,133.7585620457578,131.73866566779816,132.33610306860336,4533700
2021-02-05,137.6087188720703,138.04494610866024,133.9861820947521,134.03360030068652,6151500
2021-02-08,135.99656677246094,138.33888374729946,135.4180995343429,137.64660994971476,6304300
2021-02-09,134.46031188964844,136.76470317428078,134.37496781577377,136.17675803869665,3436300
2021-02-10,135.09567260742188,135.22843486221504,133.6163031640115,135.08618028707917,4125700
2021-02-11,136.11984252929688,136.8879825760159,135.04826654437122,135.60776363481932,3828700
2021-02-12,134.77322387695312,136.0344724041972,134.09044250175333,135.7120518853526,3637000
2021-02-16,134.38449096679688,135.9586684138519,133.73963516402262,135.9586684138519,4873400
2021-02-17,136.54656982421875,137.0870966551948,132.9619747303792,133.9956246739997,6437100
2021-02-18,137.58970642089844,137.8742010990884,133.91028918497628,135.58878029329628,4486800
2021-02-19,134.6784210205078,137.97852182070162,134.1852978531222,137.91213345566845,7486000
2021-02-22,129.60496520996094,135.09566445693355,129.2161563193809,134.22321029807117,8985900
2021-02-23,129.09291076660156,129.75672212585414,124.77811522645612,128.99807437099304,10364100
2021-02-24,128.63772583007812,128.93171289679876,127.02560823937017,128.07822866406835,6360900
2021-02-25,128.53338623046875,131.98521942069675,127.57560239936186,130.48690870510407,5674300
2021-02-26,128.0725555419922,130.03954716095976,126.72322481036355,129.13681313326612,6650200
2021-03-01,130.7997283935547,132.22507965610453,128.7567307170024,128.88976292153012,5717800
2021-03-02,130.2010498046875,131.37933053180052,128.86121655909773,130.7141697182015,5292700
2021-03-03,127.57839965820312,130.57164517720253,127.47387334802691,130.26756336599217,4888400
2021-03-04,125.46885681152344,128.40509009146308,123.70142147286946,127.33132132406635,7181500
2021-03-05,126.71372985839844,127.02729436879304,122.76075230966642,126.89426216760602,5957100
2021-03-08,127.86346435546875,128.880221533253,125.78244990700159,126.98925095463383,4983000
2021-03-09,129.18429565429688,131.13227804690638,128.70917870485155,128.766190418878,5977800
2021-03-10,130.74267578125,131.32231902674948,129.3268365827975,129.70692433419265,4519600
2021-03-11,134.16354370117188,135.1232748422777,131.6644235869418,132.25356403995525,5696500
2021-03-12,133.46035766601562,133.89747167025521,131.70243352802473,133.03275528106755,4143200
2021-03-15,137.72689819335938,137.78390990513736,133.6693955452814,133.69790140117038,5413900
2021-03-16,137.45132446289062,138.87667527791993,136.68163734268174,138.62012257079581,5623000
2021-03-17,137.6129150390625,138.87671368507787,136.07352587349945,136.07352587349945,5134400
2021-03-18,136.04501342773438,139.3613356338721,135.4558729295738,137.1852914400607,10188400
2021-03-19,130.6476593017578,135.75041051633463,128.7661858097199,133.03274108280908,24980400
2021-03-22,131.3888397216797,131.9019596257095,129.26031065808704,130.78069063199865,7537300
2021-03-23,130.29608154296875,133.64090928544496,129.75445570224,131.59791198360142,5582600
2021-03-24,126.53316497802734,131.05627367180819,126.2671006136532,129.65942850913373,8157600
2021-03-25,122.23808288574219,122.95075827908244,119.1973374407074,120.72721453172119,18475800
2021-03-26,126.37163543701172,126.56167935300415,123.31188054144293,125.05081064664542,10010500
2021-03-29,126.84674072265625,127.24583725908515,124.15757678725721,126.32410912753983,7153900
2021-03-30,126.33361053466797,126.71371284375105,124.68970973371763,125.76347882017413,6026600
2021-03-31,126.27658081054688,127.50237614646063,125.35485277912971,126.46662468828455,6878900
2021-04-01,125.93450164794922,127.98701041766924,125.6304343298902,127.98701041766924,5720600
2021-04-05,128.39559936523438,128.92772802699426,126.47613733523168,126.47613733523168,5508900
2021-04-06,130.33412170410156,130.856753395349,128.21508907408227,128.6997177784311,4670100
2021-04-07,129.7449493408203,131.360358807099,129.5739141734755,130.17256625802395,6646000
2021-04-08,127.02729797363281,130.4766526800855,126.7707451851203,130.4481468146952,8748400
2021-04-09,128.70916748046875,128.7566820711534,126.85621443910684,127.27431963806386,6056800
2021-04-12,129.8399658203125,130.0870214265174,127.54040141058898,128.04402424208854,5638200
2021-04-13,126.89425659179688,129.22234175940594,126.76122439645536,128.85175103671017,8778200
2021-04-14,125.67794036865234,127.50238786151957,125.25984959898217,126.89423869723049,7354100
2021-04-15,127.01779174804688,127.39789409171279,126.07705475932333,126.38113663425605,6284800
