Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,7.920000076,0.0,8.329999924,7.71999979,7.829999924,0.0,69046700.0
2024-01-23,7.75,0.0,8.140000343,7.730000019,8.100000381,0.0,45600700.0
2024-01-24,7.559999943,0.0,7.940000057,7.53000021,7.889999866,0.0,41431000.0
2024-01-25,7.650000095,0.0,7.75,7.550000191,7.659999847,0.0,49509400.0
2024-01-26,7.619999886,0.0,7.829999924,7.519999981,7.690000057,0.0,72566000.0
2024-01-29,9.159999847,0.0,9.449999809,8.619999886,8.819999695,0.0,286380900.0
2024-01-30,8.399999619,0.0,9.399999619,8.380000114,9.029999733,0.0,119356000.0
2024-01-31,7.829999924,0.0,8.340000153,7.809999943,8.090000153,0.0,110241400.0
2024-02-01,7.730000019,0.0,7.960000038,7.570000172,7.929999828,0.0,76525400.0
2024-02-02,7.880000114,0.0,7.949999809,7.46999979,7.579999924,0.0,53205100.0
2024-02-05,7.579999924,0.0,7.760000229,7.449999809,7.699999809,0.0,42003000.0
2024-02-06,7.800000191,0.0,7.880000114,7.53000021,7.590000153,0.0,44063700.0
2024-02-07,7.659999847,0.0,7.829999924,7.570000172,7.820000172,0.0,37544900.0
2024-02-08,8.079999924,0.0,8.140000343,7.659999847,7.699999809,0.0,49560500.0
2024-02-09,8.130000114,0.0,8.350000381,8.079999924,8.18500042,0.0,40417500.0
2024-02-12,8.329999924,0.0,8.5,8.104999542,8.119999886,0.0,44804100.0
2024-02-13,8.020000458,0.0,8.204999924,7.78000021,7.840000153,0.0,62894400.0
2024-02-14,8.420000076,0.0,8.430000305,8.100000381,8.149999619,0.0,44248000.0
2024-02-15,8.529999733,0.0,8.550000191,8.340000153,8.5,0.0,40691500.0
2024-02-16,8.359999657,0.0,8.579999924,8.270000458,8.43999958,0.0,50285500.0
2024-02-20,8.510000229,0.0,8.520000458,8.210000038,8.289999962,0.0,39814900.0
2024-02-21,8.109999657,0.0,8.350000381,8.100000381,8.340000153,0.0,39260200.0
2024-02-22,8.159999847,0.0,8.350000381,8.140000343,8.239999771,0.0,30401200.0
2024-02-23,8.170000076,0.0,8.369999886,8.109999657,8.170000076,0.0,27447600.0
2024-02-26,8.539999962,0.0,8.68999958,8.164999962,8.18999958,0.0,46576100.0
2024-02-27,9.149999619,0.0,9.170000076,8.699999809,8.75,0.0,66939300.0
2024-02-28,8.859999657,0.0,9.180000305,8.829999924,9.039999962,0.0,42120700.0
2024-02-29,8.979999542,0.0,9.138999939,8.819999695,9.069999695,0.0,29742200.0
2024-03-01,8.989999771,0.0,9.039999962,8.770000458,8.989999771,0.0,26200600.0
2024-03-04,8.579999924,0.0,9.130000114,8.569999695,9.050000191,0.0,35426400.0
2024-03-05,7.269999981,0.0,8.199999809,7.260000229,8.069999695,0.0,187827900.0
2024-03-06,7.400000095,0.0,7.619999886,7.050000191,7.369999886,0.0,131025300.0
2024-03-07,7.46999979,0.0,7.578999996,7.179999828,7.5,0.0,83118900.0
2024-03-08,7.710000038,0.0,7.829999924,7.46999979,7.519999981,0.0,76490500.0
