Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2024-01-22,57.80455399,0,58.28973574,57.67840569,57.98892172,0,14314300
2024-01-23,58.07625198,0,58.22180798,57.69781082,57.76573597,0,14481600
2024-01-24,57.16411972,0,58.03744844,57.144712,58.02774274,0,16370500
2024-01-25,57.40670776,0,57.41640977,56.92152599,57.26115175,0,14899700
2024-01-26,57.61048126,0,57.72692755,57.37759609,57.49403868,0,13025100
2024-01-29,57.95981598,0,58.01803913,57.41641104,57.58137478,0,14547100
2024-01-30,58.12477493,0,58.24121752,57.68811062,58.0762538,0,22061500
2024-01-31,57.72692871,0,58.65847682,57.53285526,58.31884736,0,22837000
2024-02-01,59.17277145,0,59.20188118,57.60078347,57.80455894,0,15870900
2024-02-02,58.74581146,0,59.06602952,58.44499742,59.01751208,0,17543500
2024-02-05,58.26062775,0,58.5905515,58.10536973,58.5905515,0,12759600
2024-02-06,58.16358948,0,58.27033006,57.91129658,58.18299719,0,12775200
2024-02-07,58.21210861,0,58.42558607,58.16358748,58.28973577,0,10259900
2024-02-08,58.05685425,0,58.19270456,57.64929962,58.11507369,0,12874800
2024-02-09,57.79485703,0,57.81426474,57.2805618,57.70752415,0,15235300
2024-02-12,57.93070221,0,57.98892165,57.21263158,57.89188678,0,13516800
2024-02-13,57.5910759,0,58.8622535,57.04767467,57.73663191,0,24195700
2024-02-14,57.53285599,0,57.82396431,57.2902651,57.4164097,0,15872500
2024-02-15,57.63959503,0,57.82396277,57.37759644,57.65899904,0,13695800
2024-02-16,57.62989044,0,57.85307361,57.21263382,57.59107501,0,13943300
2024-02-20,58.90106964,0,59.03691995,57.74633462,57.83366749,0,18339300
2024-02-21,59.42506409,0,59.46387581,59.02721519,59.1824732,0,14378300
2024-02-22,59.33773041,0,59.43476528,58.70699264,59.18247239,0,12982800
2024-02-23,59.38624954,0,59.79380045,59.19217609,59.27950896,0,13612900
2024-02-26,58.91077042,0,59.45417534,58.86225298,59.42506562,0,10336100
2024-02-27,58.55173492,0,58.97869354,58.33825377,58.74580837,0,9931100
2024-02-28,58.60995865,0,58.69729151,58.2800349,58.58084523,0,8076500
